name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Tri-Beamer,dcp_DME_tribeamer,2,,3000,500,500,,,0,75,12,5,0.75,,ENERGY,,300,0.05,0.05,0.3,0.05,,,,,10000,,,,,,,"PD, IGNORES_FLARES","pd15, beam10, dmecore_bp, dmeenergy_bp",,Dassault-Mikoyan,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.,decoy flares,,,,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Shockbeam,dcp_DME_tacbeamer,2,,350,700,240,,,5,30,5,,,,ENERGY,,410,0.1,1.2,0.6,0.5,,,,,7200,,,,,,,,"beam9, dmeadv_bp, dmeenergy_bp",,Dassault-Mikoyan,,General,,,,,Direct interactions with target matter cause explosions that do %s extra %s damage.,50 | Fragmentation,,,,2021
Obusier Shock Artillery,dcp_DME_shockartillery,3,0.5,5000,800,,300,400,0,7,14,,,,ENERGY,500,,0.16,3.84,1,,3,12,3,5,,500,,,1000,,,"STRIKE, USE_VS_FRIGATES","energy12, LR, dcp_DME_snri2t, no_dealer, restricted",,SNRI Labs,,Fire Support,,,,,Direct interactions with target matter cause large explosions that do %s extra %s damage.,150 | Energy,,,,2022
Ultra Shockbeam,dcp_DME_basilisk,3,,10500,1000,1200.5,,400,30,5,20,,,,ENERGY,,2573,0.2,2.4,1.2,2.2,,,,,7200,,,,,,,"STRIKE, USE_VS_FRIGATES","beam20, LR, dmeadv_bp",,Dassault-Mikoyan,,General,,,,,Direct interactions with target matter cause explosions that do %s extra %s damage.,200 | Fragmentation,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capacitor Microlaser,dcp_DME_autolaser_small,1,,300,500,,35,,0,45,5,18,2.4,3,ENERGY,30,,0.1875,0,,,0,3,1,12,,1200,,,,,,DO_NOT_CONSERVE,"energy8, dmecivil_bp, dmecore_bp, dmeenergy_bp",,Dassault-Mikoyan,,General,,,,,,,,,,2024
ER Pulsed Laser,dcp_DME_erpulsebeam,2,,750,800,169,,,0,15,5,,,,ENERGY,,239,0.1,0.4,0.4,0.3,,,,,5400,,,,,,,,"beam9, LR, dmecivil_bp, dmecore_bp, dmeenergy_bp, leveller",,Dassault-Mikoyan,,Suppression,,,,,,,,,,2025
ER Gravitic Lance,dcp_DME_ionbeamer,2,,1800,800,200,,50,0,10,10,,,,KINETIC,,300,0.15,1.8,0.9,0.15,,,,,4800,,,,,,,,"energy12, beam12, dmeadv_bp, dmeenergy_bp",,Dassault-Mikoyan,,Anti Shield,,,,,,,,,,2026
Capacitor Autolaser,dcp_DME_autolaser,2,,1350,600,,75,,0,30,11,24,2.4,3,ENERGY,65,,0.1875,0,,,0,5,1,12,,1200,,,,,,DO_NOT_CONSERVE,"energy13, dmecore_bp, dmeenergy_bp",,Dassault-Mikoyan,,General,,,,,,,,,,2027
Capacitor Scatterlaser,dcp_DME_scatterlaser,3,,6000,700,,750,,0,12,20,4,0.4,1,ENERGY,750,,0.25,0.25,,,,,,,,1200,,,,,,DO_NOT_CONSERVE,"energy18, dmeadv_bp, dmeenergy_bp",,Dassault-Mikoyan,,General,,,,,Fires a spray of %s and %s damage laser bolts around a single %s damage projectile.,75 | 25 | 300,,,,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid Pulser,dcp_DME_magpulser,2,,650,500,,35,100,0,60,6,,,,ENERGY,40,,0.125,0.675,3,0.1,3,9,3,10,,950,,,,,,,"energy8, dmeadv_bp, dmeenergy_bp, merc",,Dassault-Mikoyan,,General,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",30%,,,,2029
Snub Hybrid Blaster,dcp_DME_omniblaster,3,0.3,1000,400,,1250,600,0,40,8,20,,,ENERGY,1500,,,10,1,,,,,,,950,,,4000,,,"STRIKE,USE_VS_FRIGATES","strike10, dmeadv_bp",SR_strike_only,Dassault-Mikoyan,,Strike,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",60%,Fires a spray of %s damage bolts around a single %s damage projectile.,125 | 750,,2030
Hybrid Repeater,dcp_DME_hybridrepeater,5,0.1,2400,500,,50,100,0,45,10,,,,ENERGY,40,,0.125,0.05,3,0.1,4,12,3,10,,950,,,,,,,"energy11, dcp_DME_snri2t, restricted",,SNRI Labs,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",30%,,,,2031
Hybrid Blaster,dcp_DME_hybridblaster,2,,3000,600,,300,50,0,30,12,,,,ENERGY,420,,0.2,0.4,1,,,,,,,950,,,1500,,,,"energy14, dmeadv_bp, dmeenergy_bp, merc",,Dassault-Mikoyan,,General,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",30%,,,,2032
Auto Hybrid Blaster,dcp_DME_autohybridblaster,3,0.5,7500,800,,300,50,0,15,24,20,1,4,ENERGY,400,,0.125,0.125,,,0,4,1,10,,950,,,1200,,,,"energy18, rare_bp",,Dassault-Mikoyan,,General,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",30%,,,,2033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perforator Rocket Launcher,dcp_DME_perforator,0,1.5,200,1350,,150,,5,40,4,60,,,HIGH_EXPLOSIVE,0,,,2.58,3,0.21,1,3,1,15,,900,25,2.4,40,,,CONSERVE_1,"rocket7, strike0, dmecivil_bp, dmecore_bp, dmemissile_bp, deserter_bp, bladewood_bp, revolutionary",,Dassault-Mikoyan,,Strike,Very Fast,None,,,,,,,,2034
Katyusha Perforator,dcp_DME_perforatorpod,1,,1200,1350,,150,,5,25,10,180,,,HIGH_EXPLOSIVE,0,,,4.02,12,0.18,2,5,1,15,,900,25,2.4,40,,,CONSERVE_1,"rocket13, strike8, dmecore_bp, dmemissile_bp, deserter_bp, revolutionary",,Dassault-Mikoyan,,Strike,Very Fast,None,,,,,,,,2035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frappeur Torpedo (Single),dcp_DME_mirvtorpedo_single,1,,225,1200,,1000,,30,30,2,1,,,HIGH_EXPLOSIVE,0,,,1,1,,,,,,,500,125,5,300,,,STRIKE,"strike5, rocket1, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Torpedo,Medium,Medium,,,Torpedoes will orient briefly on leaving the launcher before reverting to dumbfire mode. Each torpedo deals an additional %s area %s damage on hit.,350 | Fragmentation,,,TRUE,2036
Frappeur Torpedo Rack,dcp_DME_mirvtorpedo_rack,1,,500,1200,,1000,,30,20,4,2,,,HIGH_EXPLOSIVE,0,,,1,1,,,,,,,500,125,5,300,,,STRIKE,"strike6, rocket2, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Torpedo,Medium,Medium,,,Torpedoes will orient briefly on leaving the launcher before reverting to dumbfire mode. Each torpedo deals an additional %s area %s damage on hit.,350 | Fragmentation,,,TRUE,2037
Frappeur Torpedo Launcher,dcp_DME_mirvtorpedo_barrage,2,,2500,1200,,1000,,30,15,20,25,,,HIGH_EXPLOSIVE,0,,,8.4,5,0.4,1,5,1,10,,500,175,5,300,,,STRIKE,"strike16, rocket14, dmeadv_bp, dmemissile_bp",,Dassault-Mikoyan,,Torpedo,Medium,Medium,,,Torpedoes will orient briefly on leaving the launcher before reverting to dumbfire mode. Each torpedo deals an additional %s area %s damage on hit.,350 | Fragmentation,,,TRUE,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jongleur ESAD Rack,dcp_DME_marteau_esm_rack,1,,250,2500,,325,,15,30,3,8,,,HIGH_EXPLOSIVE,0,,,9.5,2,0.5,3,6,3,15,,500,135,15,180,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile7, strike2, dmecore_bp, dmemissile_bp, merc",,Dassault-Mikoyan,,Pressure,Medium,Good,,,,,,,TRUE,2039
Jongleur ESAD Pod,dcp_DME_marteau_esm_pod,2,,1500,2500,,325,,15,20,10,32,,,HIGH_EXPLOSIVE,0,,,14.1,4,0.3,3,9,3,15,,500,135,15,180,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile13, strike9, dmecore_bp, dmemissile_bp, merc",,Dassault-Mikoyan,,Pressure,Medium,Good,,,,,,,TRUE,2040
Jongleur ESAD Barrage,dcp_DME_marteau_esm_barrage,3,,4500,2500,,325,,15,10,18,120,,,HIGH_EXPLOSIVE,0,,,20.6,12,0.4,5,15,3,15,,500,135,15,180,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile16, strike12, dmeadv_bp, dmemissile_bp",,Dassault-Mikoyan,,Pressure,Medium,Good,,,,,,,TRUE,2041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traceur MRM,dcp_DME_gravmissiletube,2,,450,2000,,200,1500,,0,6,5,0.0575,,FRAGMENTATION,,,,10,1,,,,,,,360,45,9,180,,,"DO_NOT_AIM, HEATSEEKER, DO_NOT_CONSERVE","utility13, missile0, dmecivil_bp, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Anti Engine,Fast,Excellent,,,The missile's unstable warhead delivers %s extra %s damage on hits to armor or hull.,50-150 | High Explosive,,,TRUE,2042
Traceur MRM Launcher,dcp_DME_gravmissilelauncher,2,,1600,2000,,200,1500,,10,12,12,0.1,2,FRAGMENTATION,,,,6.2667,2,0.4,,,,,,360,45,9,180,,,"DO_NOT_AIM, HEATSEEKER, DO_NOT_CONSERVE","utility13, dmecivil_bp, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Anti Engine,Fast,Excellent,,,The missile's unstable warhead delivers %s extra %s damage on hits to armor or hull.,50-150 | High Explosive,,,TRUE,2043
Marteau MLRM Launcher,dcp_DME_clusterlauncher,3,,3200,10000,,800,1200,,10,12,12,0.05,1,ENERGY,,,,10,1,,,,,,,150,60,75,250,,,"DO_NOT_AIM, CONSERVE_1","utility14, missile8, dmeadv_bp, bladewood_bp, merc",,Dassault-Mikoyan,,Suppression,Slow,Good,,,,,,,,2044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itano AMM-6,dcp_DME_ammlight,0,,300,1000,,50,,,0,3,96,,,HIGH_EXPLOSIVE,,,0.15,5.25,6,0.12,2,6,1,10,,350,75,7,35,,,"ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, GROUP_LINKED","utility8, missile0, dmecivil_bp, dmecore_bp, dmemissile_bp, dmerefit_bp, revolutionary",,Dassault-Mikoyan,,Anti Small Craft,Fast,Excellent,,,Each missile deals %s extra damage on armor or hull hits. This damage is not reduced by armor.,25,,,,2045
Itano AMM-8,dcp_DME_ammpod,1,,400,1000,,50,,,0,5,120,,,HIGH_EXPLOSIVE,,,0.15,4.4833,8,0.1,2,6,1,10,,350,75,7,35,,,"ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, GROUP_LINKED","utility8, missile1, dmecore_bp, dmemissile_bp, deserter_bp",,Dassault-Mikoyan,,Anti Small Craft,Fast,Excellent,,,Each missile deals %s extra damage on armor or hull hits. This damage is not reduced by armor.,25,,,,2046
Hedgehog Pod,dcp_DME_hedgehog_pod,1,0.5,2000,1000,,325,,50,25,10,96,,,HIGH_EXPLOSIVE,,,,17.3,12,0.2,0,5,1,15,,300,600,20,150,,,"ANTI_FTR, BOMB","utility5, missile0, dmeadv_bp, dmemissile_bp",,Dassault-Mikoyan,,Anti Fighter (Area),Slow,None,,,,,,,TRUE,2047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellrider XRM (Single),dcp_DME_hellhound_single,2,,180,2500,,750,,45,20,2,1,,,HIGH_EXPLOSIVE,,,,1.5,1,,,,,,,425,100,10,250,,,DO_NOT_AIM,"strike7, missile0, dmeadv_bp",,Dassault-Mikoyan,,Pursuit/Finisher,Fast,Good,,,Metastable warhead deals an additional %s damage to armor. This damage is not reduced by armor.,250,,,TRUE,2048
Hellrider XRM Rack,dcp_DME_hellhound,3,,350,2500,,750,,45,20,4,2,,,HIGH_EXPLOSIVE,,,,1.5,1,,,,,,,425,100,10,250,,,DO_NOT_AIM,"strike9, missile1, dmeadv_bp",,Dassault-Mikoyan,,Pursuit/Finisher,Fast,Good,,,Metastable warhead deals an additional %s damage to armor. This damage is not reduced by armor.,250,,,TRUE,2049
Hellrider XRM Launcher,dcp_DME_hellhoundlauncher,3,,1500,2500,,750,,45,15,12,12,,,HIGH_EXPLOSIVE,,,,7.8,3,0.6,1,4,1,15,,425,100,10,250,,,DO_NOT_AIM,"missile13, strike9, rare_bp",,Dassault-Mikoyan,,Pursuit/Finisher,Fast,Good,,,Metastable warhead deals an additional %s damage to armor. This damage is not reduced by armor.,250,,,TRUE,2050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltigeur ASM-3,dcp_DME_ruptureasm_sm,0,,350,1200,,200,100,45,15,5,15,,,KINETIC,,,0.1,7.1,3,0.4,1,3,1,15,,450,100,3.5,200,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, MISSILE_SPREAD, GROUP_LINKED","missile8, strike2, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Anti Shield,Fast,Excellent,,,Deals %s extra %s damage on armor or hull hits.,50 | Energy,,,TRUE,2051
Voltigeur ASM-5,dcp_DME_ruptureasm_med,1,,1350,1200,,200,100,45,10,12,60,,,KINETIC,,,0.1,4.967,5,0.4,2,5,1,15,,450,100,3.5,200,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, MISSILE_SPREAD, GROUP_LINKED","missile12, strike8, dmecore_bp, dmemissile_bp",,Dassault-Mikoyan,,Anti Shield,Fast,Excellent,,,Deals %s extra %s damage on armor or hull hits.,50 | Energy,,,TRUE,2052
Chasseur Multi-ASM,dcp_DME_chasseurLRMlauncher,3,,6000,2000,,900,400,90,5,20,20,,,KINETIC,,,0.25,11.75,1,,,,,,,350,100,10,450,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, GROUP_LINKED","missile19, strike15, rare_bp",,Dassault-Mikoyan,,Anti Shield,Fast,Excellent,,,Deals %s extra %s damage on armor or hull hits.,50 | Energy,,,TRUE,2053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Beamer Node,dcp_DME_multipdnode,3,,250,300,320,,,0,180,3,6,3,3,FRAGMENTATION,,50,0,0.05,0.1,0.05,,,,,32000,,,,,0.6,,"PD, PD_ONLY, IGNORES_FLARES, SYSTEM",,,Dassault-Mikoyan,,Point Defense,,,,,%s AI ignores fighters and other ships.,Dedicated anti-missile targeting,,,,2054
Linear CIWS,dcp_DME_linearvulcan,3,,75,350,,25,,1,150,2,,,,FRAGMENTATION,5,,,1.2167,10,0.05,4,12,1,15,,1200,,,5,0.6,,"PD, SYSTEM","pd6, SR",,Dassault-Mikoyan,,Point Defense,,,,,,,,,,2055
Aiguille SAM System,dcp_DME_slapper,3,,250,1000,,200,200,45,60,5,30,0.375,3,FRAGMENTATION,0,,,1.6,3,0.2,,,,,,350,75,5,100,,,"DO_NOT_AIM, ANTI_FTR, DO_NOT_CONSERVE, SYSTEM","utility7, missile0",,Dassault-Mikoyan,,Suppression,,,,,,,,,TRUE,2056
Hedgehog Bomb Bay,dcp_DME_hedgehog_bay,3,,2000,1500,,325,,50,0,2,8,,,HIGH_EXPLOSIVE,,,,2.6,8,0.2,0,5,1,15,,200,400,16,150,,,"STRIKE, BOMB, SYSTEM",he0,,,,,,,,,,,,,,2057
Itano AMM-3,dcp_DME_amm_samo,2,,200,1000,,50,,,0,3,15,0.2,3,HIGH_EXPLOSIVE,,,0.15,4.61,3,0.12,2,6,2,10,,350,75,7,35,,,"ANTI_FTR, DO_NOT_AIM, SYSTEM","utility8, missile0",,Dassault-Mikoyan,,Anti Small Craft,Fast,Excellent,,,Each missile deals %s extra damage on armor or hull hits. This damage is not reduced by armor.,25,,,,2058
Tomino AMM System,dcp_DME_AMMblistertube,3,,600,1000,,300,,,5,5,6,0.05,3,HIGH_EXPLOSIVE,,,0.25,9.75,1,,,,,,,350,500,7,120,,,"DO_NOT_AIM, CONSERVE_1, GROUP_LINKED, SYSTEM","utility10, missile0",,Dassault-Mikoyan,,Anti Small Craft (Area),Fast,Good,,,Each missile deals %s extra damage on armor or hull hits. This damage is not reduced by armor.,25,,,,2059
Voltigeur ASM Tube,dcp_DME_ruptureasm_tube,3,,400,1200,,200,100,45,0,5,5,0.06,,KINETIC,,,0.25,3.0833,1,,,,,,,450,100,3.5,200,,,"STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, DO_NOT_CONSERVE, GROUP_LINKED, SYSTEM","missile8, strike2",,Dassault-Mikoyan,,Anti Shield,Fast,Excellent,,,Deals %s extra %s damage on armor or hull hits.,50 | Energy,,,TRUE,2060
Tireur ATM Tube,dcp_DME_tireuratm_tube,3,,400,1200,,400,,75,10,5,5,0.06,,ENERGY,,,0.25,3.0833,1,,,,,,,450,250,9,400,,,"DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM","missile8, strike2",,Dassault-Mikoyan,,Pressure,Medium,Good,,,Energized warheads do %s extra %s damage on hits to armor or hull.,50-150 | High Explosive,,,TRUE,2061
Grad TBM-8,dcp_DME_TBM_launcher,3,,40000,4000,,800,,75,0,32,8,0.5,4,HIGH_EXPLOSIVE,,,,0.4,4,0.4,4,12,1,15,,300,150,32,250,,,"DO_NOT_AIM, STRIKE, DO_NOT_CONSERVE, SYSTEM","missile20, strike16",,Dassault-Mikoyan,,Long Range Support,Medium,Good,,,Submunitions deal an additional %s damage to armor. This damage is not reduced by armor.,100,,,TRUE,2062
Grad TBM-4,dcp_DME_TBM_smlauncher,3,,24000,4000,,800,,75,0,20,8,0.375,4,HIGH_EXPLOSIVE,,,,2.8,4,0.4,4,12,1,15,,300,150,32,250,,,"DO_NOT_AIM, STRIKE, DO_NOT_CONSERVE, SYSTEM","missile20, strike16",,Dassault-Mikoyan,,Long Range Support,Medium,Good,,,Submunitions deal an additional %s damage to armor. This damage is not reduced by armor.,100,,,TRUE,2063
